time,fmeasSEC,fmeasBTC,vpcc
8.33816706270833,49.90208068216274,49.90208081350917,10.99358501407141
8.339167062755827,49.90208066904306,49.90208080037604,10.993585111234074
8.340167062803324,49.90208065591513,49.90208078723452,10.993585208353466
8.341167062850822,49.902080642779,49.902080774084624,10.993585305429495
8.34216706289832,49.90208062963468,49.90208076092639,10.99358540246213
8.343167062945817,49.90208061648224,49.90208074775986,10.99358549945127
8.344167062993314,49.902080603321664,49.90208073458504,10.993585596396862
8.345167063040812,49.90208059015301,49.902080721401994,10.99358569329882
8.34616706308831,49.90208057697632,49.902080708210725,10.993585790157077
8.347167063135807,49.9020805637916,49.902080695011264,10.993585886971575
8.348167063183304,49.90208055059888,49.90208068180366,10.99358598374224
8.349167063230801,49.902080537398206,49.902080668587935,10.993586080469003
8.350167063278299,49.9020805241896,49.90208065536412,10.993586177151776
8.351167063325796,49.9020805109731,49.90208064213225,10.993586273790513
8.352167063373294,49.90208049774873,49.90208062889234,10.99358637038513
8.353167063420791,49.90208048451651,49.902080615644444,10.993586466935584
8.354167063468289,49.902080471276506,49.90208060238857,10.993586563441768
8.355167063515786,49.902080458028706,49.90208058912477,10.993586659903643
8.356167063563284,49.90208044477316,49.90208057585306,10.993586756321134
8.357167063610781,49.9020804315099,49.90208056257348,10.993586852694172
8.358167063658279,49.90208041823896,49.902080549286055,10.99358694902268
8.359167063705776,49.90208040496036,49.90208053599081,10.993587045306585
8.360167063753273,49.90208039167413,49.90208052268778,10.993587141545852
8.361167063800771,49.90208037838031,49.90208050937701,10.993587237740385
8.362167063848268,49.90208036507893,49.90208049605851,10.993587333890096
8.363167063895766,49.90208035177,49.902080482732316,10.993587429994987
8.364167063943263,49.90208033845358,49.90208046939846,10.993587526054913
8.36516706399076,49.90208032512968,49.902080456056986,10.99358762206987
8.366167064038258,49.902080311798336,49.902080442707906,10.993587718039747
8.367167064085756,49.902080298459566,49.902080429351244,10.993587813964503
8.368167064133253,49.90208028511343,49.90208041598705,10.993587909844065
8.36916706418075,49.90208027175993,49.902080402615354,10.993588005678346
8.370167064228248,49.902080258399096,49.90208038923616,10.993588101467333
8.371167064275745,49.90208024503098,49.90208037584952,10.9935881972109
8.372167064323243,49.902080231655596,49.90208036245547,10.993588292909003
8.37316706437074,49.902080218272964,49.90208034905403,10.9935883885616
8.374167064418238,49.90208020488314,49.90208033564522,10.993588484168594
8.375167064465735,49.90208019148614,49.90208032222909,10.99358857972993
8.376167064513233,49.90208017808198,49.90208030880565,10.993588675245542
8.37716706456073,49.902080164670714,49.902080295374944,10.993588770715373
8.378167064608228,49.902080151252356,49.902080281936996,10.99358886613935
